RUN_NAME	POOL	TAG	RAW_READS	QUALITY_PASSED	PHIX_MAPPING	PLASMID_MAPPED_BYPOOL	BARCODE_MUX	LTR_IDENTIFIED	TRIMMING_FINAL_LTRLC	LV_MAPPED	BWA_MAPPED_OVERALL	ISS_MAPPED_OVERALL	ISS_MAPPED_PP
VA|CLOEXP|POOL6-1	POOL6-1	LTR30.LC30	522791964	301556237	168742122	378378	1451002	1451002	1448433	629973	782641	645063	645059
VA|CLOEXP|POOL6-1	POOL6-1	LTR31.LC31	522791964	301556237	168742122	378378	1452502	1452502	1446813	709503	661804	476530	476527
VA|CLOEXP|POOL6-1	POOL6-1	LTR32.LC32	522791964	301556237	168742122	378378	2641900	2641900	2631796	1108815	1404893	994136	994125
VA|CLOEXP|POOL6-1	POOL6-1	LTR33.LC33	522791964	301556237	168742122	378378	2014606	2014606	2008894	866645	1064861	787913	787905
VA|CLOEXP|POOL6-1	POOL6-1	LTR34.LC34	522791964	301556237	168742122	378378	1589034	1589034	1585291	731433	806535	622528	622525
VA|CLOEXP|POOL6-1	POOL6-1	LTR35.LC35	522791964	301556237	168742122	378378	677069	677069	674750	322428	321347	233695	233691
VA|CLOEXP|POOL6-1	POOL6-1	LTR36.LC36	522791964	301556237	168742122	378378	1348683	1348683	1344143	598148	694993	510435	510434
VA|CLOEXP|POOL6-1	POOL6-1	LTR37.LC37	522791964	301556237	168742122	378378	1667038	1667038	1659979	737009	851541	614880	614877
VA|CLOEXP|POOL6-1	POOL6-1	LTR39.LC39	522791964	301556237	168742122	378378	2501221	2501221	2491539	1146273	1231338	901703	901693
VA|CLOEXP|POOL6-1	POOL6-1	LTR40.LC40	522791964	301556237	168742122	378378	1988060	1988060	1982288	929194	985392	712965	712961
VA|CLOEXP|POOL6-1	POOL6-1	LTR41.LC41	522791964	301556237	168742122	378378	3006176	3005372	2992582	1402113	1460314	987459	987458
VA|CLOEXP|POOL6-1	POOL6-1	LTR42.LC42	522791964	301556237	168742122	378378	1810412	1810412	1807551	851667	916727	671890	671889
VA|CLOEXP|POOL6-1	POOL6-1	LTR43.LC43	522791964	301556237	168742122	378378	1027389	1027363	1024242	475404	511634	359694	359691
VA|CLOEXP|POOL6-1	POOL6-1	LTR44.LC44	522791964	301556237	168742122	378378	1218580	1218580	1214803	556838	608683	418264	418262
VA|CLOEXP|POOL6-1	POOL6-1	LTR45.LC45	522791964	301556237	168742122	378378	2810056	2810056	2801467	1198457	1471708	1075400	1075392
VA|CLOEXP|POOL6-1	POOL6-1	LTR46.LC46	522791964	301556237	168742122	378378	1296637	1296633	1291359	581090	638107	459933	459933
VA|CLOEXP|POOL6-1	POOL6-1	LTR47.LC47	522791964	301556237	168742122	378378	2102201	2102201	2095148	977196	1027525	777598	777595
VA|CLOEXP|POOL6-1	POOL6-1	LTR48.LC48	522791964	301556237	168742122	378378	1337329	1337329	1334099	588188	694021	626092	626091
VA|CLOEXP|POOL6-1	POOL6-1	LTR49.LC49	522791964	301556237	168742122	378378	4996107	4996107	4981612	1964757	2836688	2228409	2228407
VA|CLOEXP|POOL6-1	POOL6-1	LTR50.LC50	522791964	301556237	168742122	378378	2632445	2632445	2619468	1326279	1159254	832470	832468
VA|CLOEXP|POOL6-1	POOL6-1	LTR51.LC51	522791964	301556237	168742122	378378	1161066	1161066	1156914	484480	620925	438091	438088
VA|CLOEXP|POOL6-1	POOL6-1	LTR52.LC52	522791964	301556237	168742122	378378	2084452	2084452	2077143	947521	1033881	735360	735357
VA|CLOEXP|POOL6-1	POOL6-1	LTR53.LC53	522791964	301556237	168742122	378378	1514083	1514083	1511226	708732	768746	599718	599718
VA|CLOEXP|POOL6-1	POOL6-1	LTR54.LC54	522791964	301556237	168742122	378378	2855184	2855182	2844838	1418600	1317967	970460	970458
VA|CLOEXP|POOL6-1	POOL6-1	LTR55.LC55	522791964	301556237	168742122	378378	1421503	1421503	1415654	640861	710235	515492	515488
VA|CLOEXP|POOL6-1	POOL6-1	LTR56.LC56	522791964	301556237	168742122	378378	2446566	2446566	2433731	1081214	1215793	838416	838414
